id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
544,The Quick and the Dead,en,,,1995,Film,
545,Wise Guys,en,,,1986,Film,
546,Playing Beatie Bow,en,,,1985,Film,
547,Shanghai Surprise,en,,,1986,Film,
548,A Blade in the Dark,en,,,1983,Film,
549,Amazon Jail,en,,,1982,Film,
550,Blade Violent [Women's Prison Massacre],en,,,1983,Film,
551,Devouring Waves [Monster Shark],en,,,1984,Film,
552,Hollywood Graffiti,en,,,1983'{,Film,
553,Laurel and Hardy,en,,,,Film,
554,The Care Bears Movie,en,,,1985,Film,
555,The Erotic Dreams of Cleopatra,en,,,1985,Film,
556,A View to a Kill,en,,,1985,Film,
557,Gremlins,en,,,1984,Film,
558,Innerspace,en,,,1987,Film,
559,Rocky IV,en,,,1985,Film,
560,The Color Purple,en,,,1985,Film,
561,The Witches of Eastwick,en,,,1987,Film,
562,A View to a Kill,en,,,1985,Film,
563,Goldfinger,en,,,1964,Film,
564,The Wanderers,en,,,1979,Film,
565,Asterix bei den Briten,en,,,1986,Film,
566,Ben,en,,,1972,Film,
567,Das Boot,en,,,1981,Film,
568,Diamonds Are Forever,en,,,1971,Film,
569,Die wilden Fünfziger,de,The Roaring Fifties,,1938,Film,
570,Dr. No,en,,,1962,Film,
571,For Your Eyes Only,en,,,1981,Film,
572,Kramer vs. Kramer,en,,,1979,Film,
573,Licence to Kill,en,,,1989,Film,
574,Live and Let Die,en,,,1973,Film,
575,Moonraker,en,,,1979,Film,
576,Never Say Never Again,en,,,1983,Film,
577,Octopussy,en,,,1983,Film,
578,On Her Majesty's Secret Service,en,,,1969,Film,
579,Otto – Der Film,en,,,1985,Film,
580,Otto – Der Liebesfilm,en,,,1992,Film,
581,Otto – Der neue Film,en,,,1987,Film,
582,Otto – So Ein Otto,en,,,1981,Film,
583,Perix Der Kater und die 3 Mausketiere,de,The Wonderful World of Puss 'n Boots,長靴をはいた猫,1969,Film,
584,Phar Lap,en,,,1983,Film,
585,Starcrash,en,,,1978,Film,
586,The Day After,en,,,1983,Film,
587,The Living Daylights,en,,,1987,Film,
588,The Man with the Golden Gun,en,,,1974,Film,
589,The Spy Who Loved Me,en,,,1977,Film,
590,Thunderball,en,,,1965,Film,
591,"Tom, Crosby und die Mausebrigande",de,Jack and the Beanstalk,ジャックと豆の木,1974,Film,
592,You Only Live Twice,en,,,1967,Film,
593,A View to a Kill,en,,,1985,Film,
594,Blade Runner,en,,,1982,Film,
595,Gremlins,en,,,1984,Film,
596,Innerspace,en,,,1987,Film,
597,Lethal Weapon,en,,,1987,Film,
598,Superman,en,,,1978,Film,
599,The Color Purple,en,,,1985,Film,
600,The Secret of NIMH,en,,,1982,Film,
601,The Witches of Eastwick,en,,,1987,Film,
